Serie;Pedido_numero;Produto_numero;Qtde;Preco_venda;Preco_total;Peso_liquido;Peso_Liquido_total;Peso_bruto;Peso_bruto_total;Valor_frete
0;7;213;1000;2.33;2330.00;0.00779;7.79;0.12929;129.29;46.60
0;13;37;1476;4.98;7350.48;0.29679;438.06204;0.29679;438.06204;147.01
0;13;39;1476;7.00;10332.00;0.27679;408.54204;0.27679;408.54204;206.64
0;13;116;2160;2.34;5054.40;0.02632;56.8512;0.02632;56.8512;101.09
0;13;71;1275;2.91;3710.25;1.02626;1308.4815;1.02626;1308.4815;74.21
0;13;75;1275;2.91;3710.25;1.02626;1308.4815;1.02626;1308.4815;74.21
0;13;76;510;2.91;1484.10;1.02626;523.3926;1.02626;523.3926;29.68
0;13;115;510;2.91;1484.10;1.02626;523.3926;1.02626;523.3926;29.68
0;13;41;2214;5.03;11136.42;0.29679;657.09306;0.29679;657.09306;222.73
0;13;42;2214;7.04;15586.56;0.27579;610.59906;0.27579;610.59906;311.73
0;13;170;160;0.96;153.60;0.01836;2.9376;0.01836;2.9376;3.07
0;13;171;80;0.96;76.80;0.01836;1.4688;0.01836;1.4688;1.54
0;13;174;360;1.02;367.20;0.028;10.08;0.028;10.08;7.34
0;13;41;738;5.03;3712.14;0.29679;219.03102;0.29679;219.03102;74.24
0;13;42;738;7.04;5195.52;0.27579;203.53302;0.27579;203.53302;103.91
0;13.04;209;480;0.27;129.60;0.0125;6;0.0125;6;2.59
0;13.04;71;1020;2.91;2968.20;0;0;0;0;59.36
0;13.04;75;1020;2.91;2968.20;0.012;12.24;0.012;12.24;59.36
0;13.04;76;765;2.91;2226.15;0;0;0;0;44.52
0;13.04;115;765;2.91;2226.15;0;0;0;0;44.52
0;13.04;170;1760;0.96;1689.60;0.018;31.68;0.018;31.68;33.79
0;13.04;171;3520;0.96;3379.20;0.018;63.36;0.018;63.36;67.58
0;13.05;71;1020;2.91;2968.20;0;0;0;0;59.36
0;13.05;75;1020;2.91;2968.20;0.012;12.24;0.012;12.24;59.36
0;13.05;76;765;2.91;2226.15;0;0;0;0;44.52
0;13.05;115;765;2.91;2226.15;0;0;0;0;44.52
0;13.05;170;1760;0.96;1689.60;0.018;31.68;0.018;31.68;33.79
0;13.05;171;3520;0.96;3379.20;0.018;63.36;0.018;63.36;67.58
0;13.06;41;738;5.03;3712.14;0.17999;132.83262;0.30089;222.05682;74.24
0;13.06;42;738;7.04;5195.52;0.1479;109.1502;0.1479;109.1502;103.91
0;13.06;123;480;2.58;1238.40;0.02;9.6;0.144;69.12;24.77
0;14.01;191;3000;0.61;1830.00;0;0;0.01;30;36.60
0;14.01;192;7000;1.01;7070.00;0;0;0.015;105;141.40
0;14.01;193;7000;0.29;2030.00;0;0;0.004;28;40.60
0;14.01;194;4000;0.42;1680.00;0.002;8;0.004;16;33.60
0;14.01;195;4000;0.42;1680.00;0.003;12;0.005;20;33.60
0;15;212;1200;23.70;28440.00;3.00408;3604.896;3.05408;3664.896;568.80
0;15;211;960;1.30;1248.00;1.008;967.68;1.009;968.64;24.96
0;15;183;2000;0.47;940.00;0.00726;14.52;0.00826;16.52;18.80
0;15;210;1440;2.88;4147.20;1.03328;1487.9232;1.03788;1494.5472;82.94
