Produto_numero;Nome;Codigo;Familia_numero;Linha_numero;Grupo;Fabricante;Fabricado_por;Conteudo_unidade;Unidade_medida;Peso_liquido;Peso_bruto;Preco_compra;Preco_venda;Estoque_minimo;Estoque_maximo;Estoque_ideal;Tempo_reposicao
971;CLIP 2K FORD PN W713297;31082002;1;14;Materia Prima;ACTIFIX;Terceiros;1;UN;1;1;0.26;0.52;9;30;20;3
634;FDF SENSOR CENTRAL UP - PRK 02;31081823;5;14;Materia Prima;ADESIVOS;Terceiros;1;UN;1;0;1.00;1.11;14;35;25;4
633;FDF PT1100 BRACKET UP - PRK 01;31081822;5;14;Materia Prima;ADESIVOS MOLINA;Terceiros;1;UN;1;0;0.09;0.18;11;30;20;4
635;FDF 8478 A LD 04;31081824;5;14;Materia Prima;ADESIVOS MOLINA;Terceiros;1;UN;1;0;0.05;0.10;9;30;20;11
636;FDF 8478 A LE  05;31081825;5;14;Materia Prima;ADESIVOS MOLINA;Terceiros;1;UN;1;0;0.05;0.10;11;30;20;10
1446;ABS CYCOLAC MG37EPX;31082241;1;16;Materia Prima;PIRAMIDAL;Terceiros;1;KG;1;1;650.00;780.00;6;30;20;12
1449;AIR PIPE ADPTER BRACKET SCANIA;31082244;5;22;Acabado;PRIMA SOLE COMPONENTE AUTOMOTIVO;Terceiros;1;UN;0.025;0.025;120.00;144.00;5;25;15;5
1587;AIRDAM LH;31082382;5;21;Acabado;PO Taubate;Terceiros;1;UN;0.064;0.128;50.00;60.00;10;30;20;15
392;ABS AG12 A0 NR (NATURAL);31081664;1;14;Materia Prima;ADVENCED;Terceiros;1;KG;1;1;27.00;41.50;9;30;20;6
396;ABS/PC Ultra 4255 BK901510;31081666;1;8;Materia Prima;ADVENCED;Terceiros;1;KG;1;1;31.00;32.78;4;25;15;10
397;ABS NOVODUR H604 NR (NATURAL);31081667;1;1;Materia Prima;ADVENCED;Terceiros;1;KG;1;1;12.00;33.30;7;30;20;12
693;ENFORM 090;31081854;1;1;Materia Prima;ADVENCED;Terceiros;1;KG;1;1;14.00;31.80;12;30;20;8
327;ETIQUETA DE APROVADO;31081630;7;7;Acabado;ADVENCED;Terceiros;1;UN;1;1;1.00;1.00;8;30;20;7
328;ETIQUETA INTERNA MENOR;31081631;7;7;Acabado;ADVENCED;Terceiros;1;UN;1;1;1.00;1.00;9;30;20;7
329;ETIQUETA INTERNA MAIOR;31081632;7;7;Acabado;ADVENCED;Terceiros;1;UN;1;1;1.00;1.00;6;30;20;14
419;SUPORTE DO FILTRO;31081679;13;19;Acabado;ADVENCED;Terceiros;1;UN;459;460;1.00;1.00;4;25;15;9
428;RETAINER SUNSHADE (HOLDER);31081688;13;19;Acabado;ADVENCED;Terceiros;1;UN;249;250;1.00;1.00;14;30;20;14
509;SUPORTE LATERAL / CENTRAL AI94;31081729;13;19;Acabado;ADVENCED;Terceiros;1;UN;299;300;1.00;1.00;11;30;20;15
1135;INJETORA BATTENFELD BA 6500/8000;31082095;16;24;Acabado;ADVENCED;Terceiros;1;UN;1;1;89559.00;98600.00;11;30;20;8
1141;CAIXA PLASTICA;31082097;6;12;Embalagem;ADVENCED;Terceiros;1;UN;1;2;125.00;200.00;3;25;15;14
1142;INJETORA ENGEL MOD ES.650/300HL;31082098;16;24;Acabado;ADVENCED;Terceiros;1;UN;1;2;17751.00;35800.00;5;25;15;6
1156;INJEcaO MOLDURA COIFA;31082105;3;14;Acabado;ADVENCED;Terceiros;1;UN;1;1;42487.00;63000.00;12;30;20;7
1376;CAIXA CX 30-1502;31082187;5;14;Embalagem;ADVENCED;Terceiros;1;UN;1;1;4.00;200.00;4;25;15;12
1378;DISPOSITIVO CONTROLE BAFFLE GSB CF7330694AA;31082188;13;19;Acabado;ADVENCED;Terceiros;1;UN;100;100;29690.00;31859.87;6;30;20;6
1379;DISPOSITIVO RESFRIAMENTO QUEBRA ONDA CJ76330694AA;31082189;13;19;Acabado;ADVENCED;Terceiros;1;UN;100;100;39972.00;73555.07;7;30;20;9
1380;QUEBRA ONDA GBS 73311336AA;31082190;13;19;Acabado;ADVENCED;Terceiros;1;UN;100;100;27204.00;100000.00;14;35;25;3
1475;AIRDAM RH;31082270;5;21;Acabado;PO Taubate;Terceiros;1;UN;0.064;0.128;60.00;72.00;5;25;15;3
1465;ASSY FILLER PIPE BRACKET MQB C/ FURO;31082260;5;3;Acabado;PO Piraquara;Terceiros;1;UN;0.468;0.46792;60.00;72.00;13;35;25;9
1524;ASSY FILLER PIPE BRACKET MQB C/ FURO E CABLE STRAP;31082319;5;3;Acabado;PO Piraquara;Terceiros;1;UN;0.468;0.46792;60.00;72.00;15;35;25;13
1525;ASSY FILLER PIPE BRACKET MQB C/ FURO E CABLE STRAP;31082320;5;3;Acabado;PO Piraquara;Terceiros;1;UN;0.483;0.48292;60.00;72.00;4;25;15;10
1418;ASSY FILTER BRACKETT SIEL VW;31082214;5;3;Acabado;PO Piraquara;Terceiros;1;UN;0.0474;0.44731;60.00;72.00;8;30;20;2
91;CHICOTE 7620001 (1H9201142B);31081584;1;3;Materia Prima;AMPLICABOS;Terceiros;1;UN;0.005;0.005;1.00;2.29;7;30;20;11
1427;ASSY VALVE - BOCAL DE ENCHIMENTO MQB;31082223;5;14;Acabado;PRK;Terceiros;1;UN;0.0238;0.02374;60.00;72.00;10;30;20;3
