Municipio_numero;UF;Municipio;MUN_IBGE
1;AC;Acrelândia;1200013
2;AC;Assis Brasil;1200054
3;AC;Brasiléia;1200104
4;AC;Bujari;1200138
5;AC;Capixaba;1200179
6;AC;Cruzeiro do Sul;1200203
7;AC;Epitaciolândia;1200252
8;AC;Feijó;1200302
9;AC;Jordão;1200328
10;AC;Marechal Thaumaturgo;1200351
11;AC;Mancio Lima;1200336
12;AC;Manoel Urbano;1200344
13;AC;Placido de Castro;1200385
14;AC;Porto Acre;1200807
15;AC;Porto Walter;1200393
16;AC;Rio Branco;1200401
17;AC;Rodrigues Alves;1200427
18;AC;Santa Rosa do Purus;1200435
19;AC;Senador Guiomard;1200450
20;AC;Tarauacá;1200609
21;AC;Xapuri;1200708
22;AL;Água Branca;2700102
23;AL;Anadia;2700201
24;AL;Arapiraca;2700300
25;AL;Atalaia;2700409
26;AL;Barra de Santo Antônio;2700508
27;AL;Barra de São Miguel;2700607
28;AL;Batalha;2700706
29;AL;Belém;2700805
30;AL;Belo Monte;2700904
31;AL;Boca da Mata;2701001
32;AL;Branquinha;2701100
33;AL;Cacimbinhas;2701209
34;AL;Cajueiro;2701308
35;AL;Campestre;2701357
36;AL;Campo Alegre;2701407
37;AL;Campo Grande;2701506
38;AL;Canapi;2701605
39;AL;Capela;2701704
40;AL;Carneiros;2701803
41;AL;Chã Preta;2701902
42;AL;Coité do Nóia;2702009
43;AL;Colônia Leopoldina;2702108
44;AL;Coqueiro Seco;2702207
45;AL;Coruripe;2702306
46;AL;Craíbas;2702355
47;AL;Delmiro Gouveia;2702405
48;AL;Dois Riachos;2702504
49;AL;Estrela de Alagoas;2702553
50;AL;Feira Grande;2702603
51;AL;Feliz Deserto;2702702
52;AL;Flexeiras;2702801
53;AL;Girau do Ponciano;2702900
54;AL;Ibateguara;2703007
55;AL;Igaci;2703106
56;AL;Igreja Nova;2703205
57;AL;Inhapi;2703304
58;AL;Jacaré dos Homens;2703403
59;AL;Jacuípe;2703502
60;AL;Japaratinga;2703601
61;AL;Jaramataia;2703700
62;AL;Jequiá da Praia;2703759
63;AL;Joaquim Gomes;2703809
64;AL;Jundiá;2703908
65;AL;Junqueiro;2704005
66;AL;Lagoa da Canoa;2704104
67;AL;Limoeiro de Anadia;2704203
68;AL;Maceió;2704302
69;AL;Major Isidoro;2704401
70;AL;Mar Vermelho;2704906
71;AL;Maragogi;2704500
72;AL;Maravilha;2704609
73;AL;Marechal Deodoro;2704708
74;AL;Maribondo;2704807
75;AL;Mata Grande;2705002
76;AL;Matriz de Camaragibe;2705101
77;AL;Messias;2705200
78;AL;Minador do Negrão;2705309
79;AL;Monteirópolis;2705408
80;AL;Murici;2705507
81;AL;Novo Lino;2705606
82;AL;Olho d'Água das Flores;2705705
83;AL;Olho d'Água do Casado;2705804
84;AL;Olho d'Água Grande;2705903
85;AL;Olivença;2706000
86;AL;Ouro Branco;2706109
87;AL;Palestina;2706208
88;AL;Palmeira dos Índios;2706307
89;AL;Pão de Açúcar;2706406
90;AL;Pariconha;2706422
91;AL;Paripueira;2706448
92;AL;Passo de Camaragibe;2706505
93;AL;Paulo Jacinto;2706604
94;AL;Penedo;2706703
95;AL;Piaçabuçu;2706802
96;AL;Pilar;2706901
97;AL;Pindoba;2707008
98;AL;Piranhas;2707107
99;AL;Poço das Trincheiras;2707206
100;AL;Porto Calvo;2707305
101;AL;Porto de Pedras;2707404
102;AL;Porto Real do Colégio;2707503
103;AL;Quebrangulo;2707602
104;AL;Rio Largo;2707701
105;AL;Roteiro;2707800
106;AL;Santa Luzia do Norte;2707909
107;AL;Santana do Ipanema;2708006
108;AL;Santana do Mundaú;2708105
109;AL;São Bráz;2708204
110;AL;São José da Laje;2708303
111;AL;São José da Tapera;2708402
112;AL;São Luís do Quitunde;2708501
113;AL;São Miguel dos Campos;2708600
114;AL;São Miguel dos Milagres;2708709
115;SP;São Sebastião;3550704
116;AL;Satuba;2708907
117;AL;Senador Rui Palmeira;2708956
118;AL;Tanque d'Arca;2709004
119;AL;Taquarana;2709103
120;AL;Teotônio Vilela;2709152
121;AL;Traipu;2709202
122;AL;União dos Palmares;2709301
123;AL;Viçosa;2709400
124;AM;Alvarães;1300029
125;AM;Amaturá;1300060
126;AM;Anamã;1300086
127;AM;Anori;1300102
128;AM;Apuí;1300144
129;AM;Atalaia do Norte;1300201
130;AM;Autazes;1300300
131;AM;Barcelos;1300409
132;AM;Barreirinha;1300508
133;AM;Benjamin Constant;1300607
134;AM;Beruri;1300631
135;AM;Boa Vista do Ramos;1300680
136;AM;Boca do Acre;1300706
137;AM;Borba;1300805
138;AM;Caapiranga;1300839
139;AM;Canutama;1300904
140;AM;Carauari;1301001
141;AM;Careiro;1301100
142;AM;Coari;1301209
143;AM;Codajás;1301308
144;AM;Eirunepé;1301407
145;AM;Envira;1301506
146;AM;Fonte Boa;1301605
147;AM;Guajará;1301654
148;AM;Humaitá;1301704
149;AM;Ipixuna;1301803
150;AM;Iranduba;1301852
151;AM;Itacoatiara;1301902
152;AM;Itapiranga;1302009
153;AM;Japurá;1302108
154;AM;Juruá;1302207
155;AM;Jutaí;1302306
156;AM;Lábrea;1302405
157;AM;Manacapuru;1302504
158;AM;Manaquiri;1302553
159;AM;Manaus;1302603
160;AM;Manicoré;1302702
161;AM;Maraã;1302801
162;AM;Maués;1302900
163;AM;Nhamundá;1303007
164;AM;Nova Olinda do Norte;1303106
165;AM;Novo Airão;1303205
166;AM;Novo Aripuanã;1303304
167;AM;Parintins;1303403
168;AM;Pauini;1303502
169;AM;Presidente Figueiredo;1303536
170;AM;Rio Preto da Eva;1303569
171;AM;Santa Isabel do Rio Negro;1303601
172;AM;Santo Antônio do Içá;1303700
173;AM;São Gabriel da Cachoeira;1303809
174;AM;São Paulo de Olivença;1303908
175;AM;São Sebastião do Uatumã;1303957
176;AM;Silves;1304005
177;AM;Tabatinga;1304062
178;AM;Tapauá;1304104
179;AM;Tefé;1304203
180;AM;Tonantins;1304237
181;AM;Uarini;1304260
182;AM;Urucará;1304302
183;AM;Urucurituba;1304401
184;AP;Amapá;1600105
185;AP;Calçoene;1600204
186;AP;Cutias do Araguary;1600212
187;AP;Ferreira Gomes;1600238
188;AP;Itaúbal do Piririm;1600253
189;AP;Laranjal do Jari;1600279
190;AP;Macapá;1600303
191;AP;Mazagão;1600402
192;AP;Oiapoque;1600501
193;AP;Pedra Branca do Amaparí;1600154
194;AP;Porto Grande;1600535
195;AP;Pracuúba;1600550
196;AP;Santana;1600600
197;AP;Serra do Navio;1600055
198;AP;Tartarugalzinho;1600709
199;AP;Vitória do Jari;1600808
200;BA;Abaira;2900108
201;BA;Abare;2900207
202;BA;Acajutiba;2900306
203;BA;Adustina;2900355
204;BA;Agua Fria;2900405
205;BA;Aiquara;2900603
206;BA;Alagoinhas;2900702
207;BA;Alcobaca;2900801
208;BA;Almadina;2900900
209;BA;Amargosa;2901007
210;BA;Amelia Rodrigues;2901106
211;BA;America Dourada;2901155
212;BA;Anage;2901205
213;BA;Andarai;2901304
214;BA;Andorinha;2901353
215;BA;Angical;2901403
216;BA;Anguera;2901502
217;BA;Antas;2901601
218;BA;Antonio Cardoso;2901700
219;BA;Antonio Goncalves;2901809
220;BA;Apora;2901908
221;BA;Apuarema;2901957
222;BA;Aracas;2902054
223;BA;Aracatu;2902005
224;BA;Araci;2902104
225;BA;Aramari;2902203
226;BA;Arataca;2902252
227;BA;Aratuipe;2902302
228;BA;Aurelino Leal;2902401
229;BA;Baianopolis;2902500
230;BA;Baixa Grande;2902609
231;BA;Banzae;2902658
232;BA;Barra;2902708
233;BA;Barra Da Estiva;2902807
234;BA;Barra Do Choca;2902906
235;BA;Barra Do Mendes;2903003
236;BA;Barra Do Rocha;2903102
237;BA;Barreiras;2903201
238;BA;Barro Alto;2903235
239;BA;Barro Preto;2903300
240;BA;Barrocas;2903276
241;BA;Belmonte;2903409
242;BA;Belo Campo;2903508
243;BA;Biritinga;2903607
244;BA;Boa Nova;2903706
245;BA;Boa Vista Do Tupim;2903805
246;BA;Bom Jesus Da Lapa;2903904
247;BA;Bom Jesus Da Serra;2903953
248;BA;Boninal;2904001
249;BA;Bonito;2904050
250;BA;Boquira;2904100
251;BA;Botupora;2904209
252;BA;Brejoes;2904308
253;BA;Brejolandia;2904407
254;BA;Brotas De Macaubas;2904506
255;BA;Brumado;2904605
256;BA;Buerarema;2904704
257;BA;Buritirama;2904753
258;BA;Caatiba;2904803
259;BA;Cabaceiras Do Paraguacu;2904852
260;BA;Cachoeira;2904902
261;BA;Cacule;2905008
262;BA;Caem;2905107
263;BA;Caetanos;2905156
264;BA;Caetite;2905206
265;BA;Cafarnaum;2905305
266;BA;Cairu;2905404
267;BA;Caldeirao Grande;2905503
268;BA;Camacan;2905602
269;BA;Camacari;2905701
270;BA;Camamu;2905800
271;BA;Campo Alegre De Lourdes;2905909
272;BA;Campo Formoso;2906006
273;BA;Canapolis;2906105
274;BA;Canarana;2906204
275;BA;Canavieiras;2906303
276;BA;Candeal;2906402
277;BA;Candeias;2906501
278;BA;Candiba;2906600
279;BA;Candido Sales;2906709
280;BA;Cansancao;2906808
281;BA;Canudos;2906824
282;BA;Capela Do Alto Alegre;2906857
283;BA;Capim Grosso;2906873
284;BA;Caraibas;2906899
285;BA;Caravelas;2906907
286;BA;Cardeal Da Silva;2907004
287;BA;Carinhanha;2907103
