Serie;Pedido_numero;Cliente_numero;Operacao_numero;Uso_numero;Ordem_venda;Emitido_em;Previsao_entrega;Pedido_cliente;DT_embarque;DT_entregue;OnTime;InFull;OnTime_InFull;Ordem_embarque;Transporte;Transportadora_numero;Volume;Especie;Valor_mercadoria;Frete;Seguro;Acrescimos;Peso_liquido;Peso_bruto;Cod_log_entrega;Numero_entrega
0;13;99;0;21;Venda a Ordem;18/12/2020;20/12/2020;109;18/12/2020;18/12/2020;1;0;0;10;Próprio por conta Remetente;1;15186;PALETE MADEIRA 1;69353,82;1387,08;346,77;0;6271,95;6271,95;271924;2345
0;13,04;99;0;21;Venda a Ordem;12/01/2021;18/01/2021;110;16/01/2021;16/01/2021;1;1;1;11;Próprio por conta Remetente;9;9330;69 cx papelão/cx pl15;15587,10;311,74;77,94;0;113,28;113,28;271924;2345
0;13,05;99;0;21;Venda a Ordem;13/01/2021;19/01/2021;111;19/01/2021;20/01/2021;0;1;0;12;Próprio por conta Remetente;6;8850;69 cx papelão/cx pl15;15457,50;309,15;77,29;0;107,28;107,28;271924;2345
0;13,06;99;0;21;Venda a Ordem;13/01/2021;13/01/2021;112;11/01/2021;11/01/2021;1;1;1;13;Próprio por conta Remetente;2;1956;69 cx papelão/cx pl15;10146,06;202,92;50,73;0;251,58;400,33;271924;2345
0;14,01;99;0;21;Venda a Ordem;13/01/2021;18/01/2021;113;15/01/2021;17/01/2021;1;1;1;14;Próprio por conta Remetente;3;25000;69 cx papelão/cx pl15;14290,00;285,80;71,45;0;20,00;199,00;271924;2345
0;15;58;0;21;Venda a Ordem Interestadual;29/12/2020;02/01/2021;114;31/12/2020;02/01/2021;1;1;1;15;Por conta Remetente (CIF);4;5600;69 cx papelão/cx pl15;34775,20;695,50;173,88;0;6075,02;6144,60;90927;1523
0;19,01;58;0;21;Venda a Ordem;14/01/2021;21/01/2021;115;21/01/2021;22/01/2021;0;0;0;16;Próprio por conta Remetente;3;2952;CAIXA DE PAPELÃO 40 UN;17748,90;354,98;88,74;0;489,79;757,46;90927;1523
0;19,02;58;0;21;Venda a Ordem;14/01/2021;14/01/2021;116;12/01/2021;13/01/2021;1;0;0;17;Próprio por conta Remetente;5;6720;CAIXA DE PAPELÃO 40 UN;14407,20;288,14;72,04;0;47,52;47,52;90927;1523
0;19,03;58;0;21;Venda a Ordem;15/01/2021;19/01/2021;117;20/01/2021;22/01/2021;0;1;0;18;Próprio por conta Remetente;4;9340;CAIXA DE PAPELÃO 40 UN;33114,10;662,28;165,57;0;730,52;1206,38;90927;1523
0;19,04;58;0;21;Venda a Ordem;20/01/2021;24/01/2021;118;25/01/2021;27/01/2021;0;1;0;19;Próprio por conta Remetente;10;4176;CAIXA DE PAPELÃO 40 UN;4224,96;84,50;21,12;0;118,66;118,66;90927;1523
0;19,05;58;0;21;Venda a Ordem;21/01/2021;26/01/2021;119;23/01/2021;25/01/2021;1;1;1;20;Próprio por conta Remetente;4;11808;CAIXA DE PAPELÃO 40 UN;11352,96;227,06;56,76;0;187,00;3426,88;90927;1523
0;19,06;58;0;21;Venda a Ordem;25/01/2021;25/01/2021;120;26/01/2021;26/01/2021;0;1;0;21;Próprio por conta Remetente;7;5412;CAIXA DE PAPELÃO 40 UN;32661,42;653,23;163,31;0;887,27;1214,43;90927;1523
0;20,01;58;0;21;Venda a Ordem;15/01/2021;17/01/2021;121;16/01/2021;18/01/2021;0;0;0;22;Próprio por conta Remetente;4;1000;CAIXA DE PAPELÃO 40 UN;940,00;18,80;4,70;0;12,50;14,50;90927;1523
0;20,02;58;0;21;Venda a Ordem;19/01/2021;26/01/2021;122;27/01/2021;28/01/2021;0;1;0;23;Próprio por conta Remetente;10;500;CAIXA DE PAPELÃO 40 UN;470,00;9,40;2,35;0;6,25;7,25;90927;1523
0;20,03;58;0;21;Venda a Ordem;21/01/2021;28/01/2021;123;25/01/2021;26/01/2021;1;1;1;24;Próprio por conta Remetente;6;1000;CAIXA DE PAPELÃO 40 UN;940,00;18,80;4,70;0;12,50;14,50;90927;1523
0;22;160;0;21;Venda a Ordem;12/01/2021;15/01/2021;124;15/01/2021;16/01/2021;0;1;0;25;Por conta Destintário (FOB);3;4020;CAIXA DE PAPELÃO 40 UN;3687,00;73,74;18,44;0;52,55;60,48;196723;3824
0;24;60;1;51;Remessa Vasilhame Interestadual;12/01/2021;16/01/2021;125;14/01/2021;16/01/2021;1;1;1;26;Por conta Remetente (CIF);2;9;CAIXA DE PAPELÃO 40 UN;315,00;6,30;1,58;0;9,00;9,00;90927;1523
0;25;45;0;21;Venda a Ordem;12/01/2021;18/01/2021;126;19/01/2021;21/01/2021;0;1;0;27;Por conta Destintário (FOB);4;19500;CAIXA DE PAPELÃO 40 UN;8190,00;163,80;40,95;0;49,00;88,00;152786;2856
0;29;32;1;51;Remessa Vasilhame Estadual;13/01/2021;20/01/2021;127;21/01/2021;21/01/2021;0;1;0;28;Por conta Destintário (FOB);4;6;69 cx papelão/cx pl15;900,00;18,00;4,50;0;0,00;6,00;245112;1997
0;31;107;1;51;Remessa Vasilhame Estadual;13/01/2021;16/01/2021;128;17/01/2021;17/01/2021;0;1;0;29;Por conta Destintário (FOB);9;40;PALETE MADEIRA 1 UN;1200,00;24,00;6,00;0;40,00;40,00;271924;2345
0;33;152;0;21;Venda a Ordem;13/01/2021;20/01/2021;129;20/01/2021;20/01/2021;1;1;1;30;Por conta Destintário (FOB);2;3650;PALETE MADEIRA 1 UN;12140,00;242,80;60,70;0;2572,40;5622,40;158219;3724
0;34,01;152;0;21;Venda a Ordem;18/01/2021;21/01/2021;130;19/01/2021;19/01/2021;1;1;1;31;Próprio por conta Remetente;2;10590;PALETE MADEIRA 1 UN;22530,26;450,61;112,65;0;265,17;1885,04;158219;3724
