Transportadora_numero;Nome;Grupo_numero;CNPJ;IE;IM;Telefones;Cod_log;Numero
1;Transportadora Expressa Ltda;9;12.345.678/0001-90;123456789;98765432;(11) 91234-5678;11394;1234
2;Transportadora Velozes S/A;9;98.765.432/0001-10;987654321;12345678;(22) 99876-5432;21100;564
3;Translogística Nacional Ltda;9;34.567.890/0001-21;345678901;87654321;(33) 98765-4321;34651;678
4;TransRápido Ltda;9;23.456.789/0001-30;234567890;76543210;(44) 87654-3210;38398;7789
5;Transportes Eficientes S/A;9;56.789.012/0001-43;567890123;65432109;(55) 76543-2109;38401;3456
6;Transportadora Ágil Ltda;9;67.890.123/0001-54;678901234;54321098;(66) 65432-1098;38666;456
7;Transportes Rápidos e Seguros Ltda;9;78.901.234/0001-65;789012345;43210987;(77) 32109-8765;38725;433
8;Transportadora Logística Ltda;9;89.012.345/0001-76;890123456;32109876;(88) 54321-0987;38777;2235
9;TransExpress Brasil S/A;9;90.123.456/0001-87;901234567;21098765;(99) 65432-1098;38818;5674
10;Transportadora Ágil e Rápida Ltda;9;21.098.765/0001-98;210987654;9876543;(00) 98765-4321;38824;2345
