Uso_numero;Uso 
0;Consumo
1;Comercialização
2;Industrialização
3;Consignação Mercantil
4;Consignação Industrial
5;Ativo Imobilizado
6;Exportação
7;Empréstimo
8;Descarte
9;Sucata
10;Correção
14;Especial
21;A Ordem
22;Conta e Ordem
26;Entrega Futura
28;Uso-Consumo
29;Aplicado
30;Aplicado 3º
31;Não Aplicado
32;Não Aplicado 3º
33;Conserto
34;Comodato
35;Simbólico
36;Bonificação
37;Doação
38;Brinde
39;Demonstração
40;Icms
41;ICMS ST
42;IPI
43;PIS
44;COFINS
45;Fora do Estabecimento
46;Qtde
47;Valor
48;Perda
49;Transporte
50;Armazenagem
51;Vasilhames ou Sacarias
52;Pallets ou Contentores
53;Não Especificado
54;Manejo
55;Interno
56;Reciclagem
57;A Ordem c/retenção PIS/COFINS
58;Caixas Clientes
59;Outras saídas ICMS/IPI
60;Remessa de moldes de 3o
61;Industrialização por 3o.
62;Industrialização para 3o
63;Venda a Ordem com IPI
64;Outras Saidas s/ICMS e IPI
65;Serviços Industrialização
66;Serviços MO por 3os
67;Ferramental/Manutenção
68;Serviços Gerais
69;A Odem revenda
70;Industrialização c/ IPI
71;Ferramental/dispositivo IPI
72;A ordem c/IPI
73;Teste s/ retorno
74;Ferramental/Moldes
75;Teste c/ retorno
76;Ativo Imobilizado NF entrada
77;p/ troca em garantia
78;Remessa p/troca em garantia
79;A Ordem com ST
80;A Ordem com IPI e ST
81;Locação
82;Ferramental/Manutenção c/IPI
83;Amostra s/retorno
84;NF Complementar
85;Serviços de Calibração p/3os
86;Calibração por terceiros
87;Amostra c/retorno
88;Transportes
89;Pagamento Antecipado
90;Complemento de Preço
91;Devolução Embalagens Klippan
92;A ordem s/icms de PIS/COFINS
93;Residuo de Oleo Industrial
94;MP  Utilizado /Industrialização
95;Amostra c/retorno c/ICMS
96;Amostra para testes s/retorno
